# Time series of US dollars raised by Jill Stein's recount fundraiser for the
# 2016 US presidential election.
#
# MINUTES = time datum scraped, in minutes elapsed after the first datum
# DOLLARS = US dollars raised, as scraped from her campaign's website
MINUTES	DOLLARS
571.15	2432401.02
572.85	2433993.49
574.85	2439857.47
576.4	2441598.47
578.067	2444667.47
579.7	2446409.51
581.4	2453242.98
583.017	2455096.98
584.567	2458167.98
586.283	2463624.98
588.033	2465427
589.783	2467823
591.3	2469368
593.117	2472079
594.983	2474760
596.733	2478513
598.667	2481781
600.3	2483861.05
601.967	2485249.18
603.8	2487237
605.683	2488719
607.367	2492829.99
609.333	2495039.18
611.133	2496462.01
613.033	2498465.01
614.6	2499639.65
616.283	2500973.65
617.967	2505002
619.9	2509172.19
621.783	2511117.19
623.517	2512498.86
625.05	2513551.86
626.817	2515586.66
628.517	2516260.66
630.033	2517006
632.033	2519162
633.617	2520481
635.35	2521628
637	2523021
638.583	2524729
640.45	2526628
642.217	2527810
643.8	2529585
645.333	2530498.01
647.1	2531503.01
648.65	2533173.01
650.333	2534304.2
652.2	2536273.2
653.85	2538226.25
655.833	2540836.25
657.867	2542363.25
659.833	2543249.25
661.633	2543774.25
663.35	2545153.25
665.133	2546298.25
666.767	2547263.25
668.333	2547648.25
670.15	2549413.25
671.883	2550426.25
673.717	2551622.75
675.333	2552346.75
676.9	2553189.75
678.75	2553829.75
680.383	2554437.75
681.983	2555526.75
683.783	2556205.88
685.533	2559546.88
687.267	2560731.88
688.917	2561525.88
690.45	2561800.88
692.167	2562444.88
694.067	2564184.88
695.75	2564347.88
697.717	2567683.88
699.483	2568522.88
701.067	2569489.88
703.033	2570149.88
705.033	2570819.88
706.683	2571326.88
708.667	2572290.88
710.617	2573510.88
712.6	2576868.88
715.05	2579849.88
716.817	2581024
718.35	2581692.5
720.117	2582176.5
721.983	2582599
723.783	2583258
725.917	2583596
727.517	2584011
729.2	2584966
730.95	2585783
732.65	2585973
734.367	2586584
736.133	2587515
738.067	2587938
739.917	2588704
741.917	2588932
743.567	2589985
745.15	2591087
746.933	2592111
748.8	2592885.5
750.45	2592998.5
752.117	2593300.5
753.917	2593794.5
755.717	2594623.5
757.767	2595310.5
759.45	2595751.5
761.433	2596665.5
763.65	2597045.5
765.333	2598675.5
767.05	2599605.5
769.033	2600322.5
770.667	2601106.5
772.65	2601534.5
774.45	2602568.5
776.267	2602723.5
777.783	2603430.5
779.467	2604389.5
781.233	2604987.5
783.117	2605615.5
784.867	2606124.5
786.65	2606299.5
788.167	2606888.66
790.083	2607434.66
792	2608516.66
793.883	2610519.66
795.433	2610772.66
797.1	2611492.66
799.033	2612168.66
800.933	2612455.65
802.867	2612890.65
804.867	2614375.65
806.65	2614897.65
808.517	2615997.65
810.233	2616661.65
812.217	2617640.65
813.883	2617974.65
815.65	2618737.65
817.183	2620084.65
819.167	2620424.65
820.767	2621215.65
822.683	2621892.65
824.383	2622841.81
825.983	2624539.81
827.633	2625162.81
829.35	2625577.81
831.117	2625902.81
832.717	2627688.81
834.3	2628723.81
835.933	2629667.81
837.467	2630347.81
839.5	2631549.81
841.767	2632006.81
843.683	2634416.81
845.267	2634879.81
847.117	2638191.81
849.083	2639537
850.717	2640549
853.05	2642710
854.717	2643446.16
856.5	2644089.16
858.45	2646523.16
859.983	2648839.16
861.65	2649572.16
863.667	2650839.16
865.4	2652231.16
867.083	2653355.16
868.767	2654221.16
870.267	2655122.16
872.25	2656332.16
874.233	2657959.16
876.067	2659877.16
877.933	2660967.16
879.767	2662509.16
881.483	2663563
883.233	2665429
885.233	2667392
886.833	2669413
888.783	2671506
890.483	2672911
892.15	2676267
893.933	2677061
895.55	2678861
897.45	2681369
899.417	2683209.16
901.45	2684934.26
903.283	2687731.26
905.333	2689284.26
907	2691098.26
908.683	2693708.26
910.267	2695021.26
912.25	2697702.23
913.95	2700213.23
915.683	2702237.23
917.233	2704139.23
918.967	2706870.23
920.483	2709474.23
922.1	2710845.23
923.967	2717250.23
925.733	2719893.23
927.333	2721642.23
928.867	2722662.23
930.433	2725611.23
931.967	2727658.23
933.6	2729966.23
935.117	2732457.23
936.65	2734727.23
938.667	2737551.23
940.183	2741251.23
941.783	2743651.23
943.633	2749562.23
945.167	2751125
946.783	2757326
948.533	2760296
950.367	2762395
952.333	2766314
953.9	2771093.02
955.767	2776523.02
957.4	2781647.02
958.983	2784475.02
960.567	2788543.02
962.217	2793350.02
964.183	2799064
965.85	2802813
967.45	2804651.3
969.25	2808807.18
970.933	2810622.18
972.733	2816897.18
974.583	2819909.18
976.267	2822465.18
978.25	2826040.82
979.95	2828706.82
981.817	2833695.14
983.75	2837891.14
985.367	2842654.64
987.167	2845891.64
988.9	2850455.66
990.717	2853856.42
992.467	2859817.42
994.25	2865622.42
995.867	2868507.42
997.533	2873112.42
999.333	2875670.42
1001.07	2883187.42
1002.87	2888724.42
1004.45	2893011.42
1006.25	2900216.42
1007.9	2901633.42
1009.42	2906332.66
1010.93	2910703.66
1012.58	2915815.66
1014.5	2918860.66
1016.47	2923676.1
1018.45	2927358.1
1020	2931690.1
1021.58	2937406.1
1023.18	2940911.1
1024.87	2945057.1
1026.55	2952059.1
1028.2	2958375.1
1029.77	2961639.1
1031.62	2970468.09
1033.38	2973725.09
1035.02	2981655.09
1036.98	2986693.09
1038.85	2991643.09
1040.58	2999273.09
1042.47	3003081.09
1044.35	3010289.09
1047.97	3022213.58
1049.72	3027677.58
1051.62	3033912.95
1053.52	3042442.45
1055.4	3047106.77
1056.97	3051724.77
1058.82	3054883.77
1060.85	3059343.77
1062.68	3065018.07
1064.67	3072067.07
1066.28	3080699.07
1068.02	3083781.07
1069.97	3089159.07
