AreaCode	MeanAge	SexRatPc	L4QualPc	FTStudPc	UKBo11Pc	LTUPc	T15	UKBoChPc	RVS
"W06000009"	42.9	48.8594	24.8	2.4	95.4304	1.4458	70.4794	-1.2137	42.86
"W06000010"	42.3	48.8837	23.9	3.3	95.8727	1.5181	68.186	-1.8616	46.25
"W06000011"	40.1	49.404	25.8	9.4	92.7902	1.4177	62.4455	-3.6702	48.49
"W06000012"	41.3	48.9586	18.8	2.9	97.428	1.6565	64.8218	-0.7389	43.16
"W06000013"	40.7	49.4252	22.6	2.9	96.4147	1.8073	65.021	-1.1523	45.36
"W06000014"	40.9	48.6971	29.8	3.2	95.1281	1.7677	67.3543	-1.2036	50.73
"W06000015"	36.5	49.0893	32.3	12.8	86.7182	1.6737	68.4006	-5.7639	60.02
"W06000016"	39.8	48.9036	19.6	5.2	96.8564	1.9367	61.8644	-1.2639	46.3
"W06000018"	39.5	49.0481	18.7	3	97.6477	2.226	61.2964	-0.7531	42.37
"W06000019"	40.5	49.1664	15.2	2.9	97.8486	3.0555	61.7181	-1.0297	37.97
"W06000020"	40.4	48.7313	20.3	2.9	97.3143	1.9196	66.2954	-0.7384	40.22
"W06000021"	43	49.1902	33.1	2.5	95.5805	1.2419	69.819	-1.2567	50.44
"W06000022"	38.8	48.979	23.4	5.1	91.5374	2.139	64.2313	-4.1155	44.01
"W06000023"	43.9	49.3946	26.3	2.1	95.7947	1.1398	70.865	-1.6371	46.26
"W06000024"	39.7	48.9626	17.8	3.6	95.5087	2.4944	62.6643	-3.0481	43.56
