AreaCode	MeanAge	SexRatPc	L4QualPc	FTStudPc	UKBo11Pc	LTUPc	T15	UKBoChPc	RVS
"E07000146"	43.5	48.8657	19.1	2.1	92.3466	1.487	64.158	-3.2418	33.6
"E07000147"	47.5	48.4763	22.3	1.5	95.867	1.2822	71.9011	-0.9821	41.09
"E07000148"	37.4	49.2537	27.7	11.6	87.1166	2.0278	66.0413	-6.773	56.24
"E07000149"	43	48.7977	27	2.1	95.0997	0.9906	68.5617	-1.3458	48.31
"E07000150"	37.5	49.2156	14.9	2.8	86.855	1.6493	70.4155	-7.8832	35.75
"E07000151"	40.9	49.9711	28.8	2.4	94.0059	1.1049	72.0678	-1.8263	41.4
"E07000152"	40.4	49.626	24.2	2.3	93.9457	1.2189	69.182	-1.542	41.24
"E07000153"	39.5	49.0998	23.3	2.4	91.5229	1.5459	67.3053	-3.2525	39.01
"E07000154"	37.1	49.1199	23.7	5.6	83.6718	1.8506	66.5718	-7.7453	41.62
"E07000155"	41.1	49.4172	31.1	2.2	94.1906	0.8135	71.3545	-0.9617	45.66
"E07000156"	39.6	49.2011	20.4	2.6	87.5936	1.8352	69.5221	-4.7447	37.58
"E07000163"	44.5	48.2846	31.8	2.3	95.8527	0.9612	71.184	-1.0516	47.17
"E07000164"	43.5	49.3404	32.1	2	95.5138	0.8229	68.0273	-1.2167	46.34
"E07000165"	42	48.7981	34.1	2.3	91.2079	0.9278	70.0769	-2.5609	50.97
"E07000166"	40	52.7413	27	1.6	91.6001	1.0323	68.2996	-2.3943	43.22
"E07000167"	44.6	49.1063	27.3	1.9	95.8494	0.9792	67.6105	-1.3318	44.74
"E07000168"	44.2	48.3211	22.7	3.6	95.1284	1.6991	65.6351	-1.9264	38.01
"E07000169"	40.9	49.0683	26.1	2.2	95.7831	1.2761	69.4041	-1.9573	40.83
"E07000170"	40	49.0933	15.1	2.4	97.0041	1.8878	64.4555	-1.3539	30.16
"E07000171"	41.5	49.6389	20.2	2.4	95.312	1.5317	65.8158	-2.1507	32.17
"E07000172"	41.4	49.4287	28.2	4.9	92.2986	1.5005	69.9346	-2.171	45.35
"E07000173"	41.4	48.7463	25.3	2.8	94.4171	1.5273	68.711	-1.4232	44.45
"E07000174"	40.2	49.1145	16.4	2.5	94.4317	1.7899	60.8675	-2.8725	29.14
"E07000175"	41.6	49.2575	24.2	2.8	95.0791	1.2954	70.0223	-1.9051	39.61
"E07000176"	41.2	49.2248	39	5	93.4509	0.9931	74.1853	-1.3484	57.55
"E07000177"	38.9	49.4305	28.1	2.7	88.6549	0.9829	69.4424	-4.2973	49.69
"E07000178"	34.3	49.5932	42.6	23.6	71.5357	1.2724	66.8504	-9.1597	70.27
"E07000179"	40.9	49.1632	36.7	2.3	90.7856	0.9082	70.5856	-1.9016	54.98
"E07000180"	40.8	49.6396	37.2	2.8	89.8304	0.8768	72.1577	-2.3858	56.7
"E07000181"	41.1	49.1005	32.9	2.1	91.901	0.818	73.316	-2.228	53.66
"E07000187"	41.9	48.8539	27.9	2.4	93.7097	1.0298	72.0486	-1.7693	51.07
"E07000188"	42.4	48.9126	22.1	2.4	95.0405	1.322	69.6396	-2.0157	38.8
"E07000189"	42.9	49.0601	25.1	2	94.0276	0.9923	70.1823	-2.0657	42.75
"E07000190"	41.8	48.3542	28.1	2.9	92.9184	1.001	69.5582	-2.5107	47.08
"E07000191"	47.7	47.801	24.8	1.8	94.8926	0.9913	67.6436	-1.6435	39.41
"E07000192"	39.6	49.3792	17.2	2.7	97.5077	1.8997	63.193	-0.5362	31.14
"E07000193"	39.8	49.6421	23.4	2.7	91.3306	1.3569	66.4865	-4.1381	36.79
"E07000194"	42.2	49.5956	28.4	2.6	96.1621	1.2842	67.4944	-1.004	41.19
"E07000195"	40.8	49.4111	22.5	7.7	94.9754	1.4372	63.1097	-2.0286	36.96
"E07000196"	43.2	49.2393	25.1	2.8	97.2237	1.3306	69.0619	-0.5552	35.15
"E07000197"	41.8	50.0913	30.3	4.8	93.9214	1.1963	70.5305	-2.1473	44.01
"E07000198"	43.4	49.2143	23.7	2.5	97.7015	1.046	68.466	-0.6528	35.27
"E07000199"	38.6	49.0724	17.4	2.7	96.3079	1.8334	65.5987	-1.0944	32.53
"E07000200"	43.1	49.013	25.8	2	95.008	1.2287	70.3004	-1.1086	45.81
"E07000201"	38.7	50.467	19.2	2.3	77.0235	1.1713	64.6106	-0.0269	35.03
"E07000202"	38	49.8021	20.6	3.4	88.1672	2.2147	66.6874	-5.739	41.74
"E07000203"	42.4	49.5436	26.4	2	95.3055	0.8919	69.5882	-1.0152	44.77
"E07000204"	41	50.0811	24.6	2.3	91.4772	1.0745	67.9954	-2.8575	43.38
"E07000205"	44.2	48.8045	29	2	93.8849	1.0255	71.0895	-1.2418	47
"E07000206"	43.9	48.6066	17.9	2.1	96.1754	1.6378	67.1792	-1.0757	37.1
"E07000207"	39.8	48.4905	43.9	2.9	81.7261	1.0225	70.2195	-2.271	59.53
"E07000208"	40	48.4834	36	4.6	83.7328	0.971	72.6705	-4.0438	52.08
"E07000209"	39	49.5127	39.5	9.5	84.4901	0.9818	70.999	-4.8267	56.17
"E07000210"	42.7	48.9007	37.9	2.3	90.051	0.9444	73.7271	-2.0955	53.08
"E07000211"	39.9	48.915	34	2.6	87.9218	1.0658	70.5889	-3.4125	49.51
"E07000212"	39.7	48.625	29.9	10.2	83.0729	1.0704	67.8478	-5.4305	45.74
"E07000213"	40.4	49.2196	25.9	2.5	85.9108	1.1914	68.5537	-5.2884	39.7
"E07000214"	40.2	49.7632	34.5	2.6	86.7396	0.9654	68.4538	-3.0826	49.02
"E07000215"	41.3	48.3843	33	2.6	91.2648	1.0377	70.4334	-1.4247	47.16
"E07000216"	41.5	48.7991	40.1	3.5	89.3972	0.9064	72.8782	-1.5542	58.39
"E07000217"	38.7	49.5413	38.4	3.3	80.1196	1.2548	69.9673	-6.2287	56.15
"E07000218"	41.7	49.3501	19.8	2.4	97.0636	1.384	67.3903	-0.6524	33.12
"E07000219"	39.7	49.0539	18.6	2.8	93.2233	1.9405	67.7322	-2.573	33.99
"E07000220"	40	49.8466	28.2	2.6	88.3268	1.3071	71.3371	-5.1484	43.3
"E07000221"	43.8	48.5513	33.4	2.5	93.8067	0.8618	73.1165	-1.6231	48.44
"E07000222"	39.7	49.8736	38.4	8.8	88.4466	1.1498	71.9557	-2.5424	58.78
"E07000223"	43	48.238	22	2.3	93.8021	1.2996	66.7309	-1.6415	45.43
"E07000224"	45.5	47.6886	22.8	2.6	91.3957	1.3793	66.5699	-3.6783	37.52
"E07000225"	44.5	47.8066	32.4	4.4	91.9003	1.0761	69.3805	-1.768	49.08
"E07000226"	36.8	49.4367	21.5	3	79.7386	1.7247	65.6649	-8.7062	41.59
"E07000227"	42.1	48.5952	32.6	2.3	92.0122	1.0231	72.3527	-1.6103	51.46
"E07000228"	41	48.9504	33.6	2.4	90.3461	0.8439	71.539	-2.3236	53.09
"E07000229"	42.2	48.1498	26	2.9	90.581	1.3331	66.9324	-3.2017	47.01
"E07000234"	42.6	49.4463	30.5	2.8	96.0091	1.1341	71.2396	-0.7168	44.63
"E07000235"	44.9	48.6875	33.9	2.7	94.9793	1.1549	73.7117	-0.8972	47.84
"E07000236"	38.6	49.6925	20.7	3.3	92.0465	1.7546	67.2933	-3.2663	37.71
"E07000237"	38.3	49.1688	27.7	6.5	91.8314	1.653	68.6204	-3.2948	46.32
"E07000238"	43.5	49.1218	28.7	2.4	94.4272	1.219	71.0888	-2.0723	42.14
"E07000239"	42.7	49.2973	22.1	2.4	96.0868	1.7849	63.8702	-0.6344	36.85
"E07000240"	38.9	49.0815	46.3	3.4	86.5289	1.0224	69.7513	-2.822	62.71
"E07000241"	38	49.1826	30	13.1	82.8127	1.347	65.8242	-8.1275	47.01
"E07000242"	39.5	49.1622	33.5	2.7	91.9905	1.0141	69.5906	-1.9312	49.64
"E07000243"	37.8	49.4098	22.1	3.5	88.2273	1.8987	69.2172	-5.3673	40.75
"E08000001"	38.4	49.3739	22.2	4.3	88.7191	1.9574	62.2048	-4.2256	41.71
"E08000002"	39.2	48.9506	25.7	3.5	91.292	1.6379	65.3492	-2.9186	45.88
"E08000003"	33.2	50.2106	28.9	17.3	74.7457	2.2074	57.7951	-10.4928	60.36
"E08000004"	37.4	48.9802	18.6	4.1	88.2164	2.0186	60.3948	-3.6435	39.14
"E08000005"	37.9	48.9572	19.4	4	88.8535	2.3052	59.762	-3.3742	39.93
"E08000006"	37.4	49.9211	22.3	6.9	88.2607	2.1084	56.9359	-6.3951	43.19
"E08000007"	40.8	48.8571	29.8	3.3	93.1653	1.5416	66.5572	-1.825	52.33
"E08000008"	39.1	49.0826	17.5	3.2	93.0377	2.0265	57.6003	-2.1774	38.86
"E08000009"	39.3	48.9717	33.8	3.7	88.7893	1.46	66.3932	-3.0463	57.69
"E08000010"	39.6	49.7079	19.5	2.9	96.4785	1.9671	60.7447	-1.5156	36.1
"E08000011"	39.1	47.5204	15.5	3.9	97.6654	2.6763	64.2121	-0.6378	48.44
"E08000012"	37.7	49.4159	22.4	11.9	90.1107	2.771	64.1671	-5.1577	58.19
"E08000013"	40.7	49.1352	20.9	3.1	97.3036	2.1237	61.7361	-0.8083	41.98
"E08000014"	42.5	47.9335	24.1	3.7	95.7792	2.0258	67.3801	-1.3066	51.87
"E08000015"	41.4	48.1098	25.3	3.2	95.9566	2.1074	69.1835	-0.8496	51.7
"E08000016"	40.4	49.1452	17.4	2.6	96.6253	2.0991	58.2383	-1.6449	31.69
"E08000017"	39.8	49.3482	17	2.6	93.8264	2.2347	57.3539	-3.313	31.04
"E08000018"	40.2	49.0699	17.4	2.7	94.89	2.084	60.7811	-2.5098	32.11
"E08000019"	37.9	49.3327	25.7	12.2	88.326	1.8591	63.4087	-5.3213	49.01
"E08000021"	36.9	50.0491	27.2	16.2	86.5874	1.935	62.6395	-6.6397	50.7
"E08000022"	40.9	48.2483	25.3	3.1	96.0428	2.0049	63.9653	-1.3119	46.6
"E08000023"	41.2	48.3099	19.2	3.7	96.6488	2.6317	58.6366	-0.8168	37.95
"E08000024"	40.4	48.6207	18.2	5.1	95.8966	2.2758	56.0994	-1.7128	38.66
"E08000025"	35.3	49.1877	23	9.5	77.791	2.9122	58.9597	-5.7281	49.58
"E08000026"	36.8	49.729	23	11.5	78.7882	2.1012	59.7654	-8.2102	44.4
"E08000027"	40.5	49.1552	19.2	3	94.6898	2.3822	63.4766	-1.5016	32.4
"E08000028"	37.4	49.2081	15.4	4.3	84.0714	3.1602	58.5403	-6.3706	33.28
