# Monthly global carbon dioxide concentrations, aggregated by NOAA ESRL
# 	ftp://aftp.cmdl.noaa.gov/products/trends/co2/co2_mm_gl.txt
#
# DECIMALYR = year and month represented as decimal non-integer
# MONCO2 = monthly global mean CO2 mole fraction in dry air (p.p.m.v.)
DECIMALYR	MONCO2
2008.208	385.89
2008.292	386.29
2008.375	386.26
2008.458	385.34
2008.542	383.86
2008.625	382.53
2008.708	382.30
2008.792	383.43
2008.875	384.92
2008.958	386.01
2009.042	386.80
2009.125	387.26
2009.208	387.49
2009.292	387.77
2009.375	387.74
2009.458	386.74
2009.542	384.80
2009.625	383.42
2009.708	383.72
2009.792	385.28
2009.875	386.74
2009.958	387.63
2010.042	388.42
2010.125	389.13
2010.208	389.47
2010.292	389.77
2010.375	389.74
2010.458	388.80
2010.542	387.16
2010.625	386.04
2010.708	386.51
2010.792	388.06
2010.875	389.44
2010.958	390.19
2011.042	390.74
2011.125	391.15
2011.208	391.46
2011.292	391.84
2011.375	391.87
2011.458	390.94
2011.542	389.00
2011.625	387.66
2011.708	388.08
2011.792	389.65
2011.875	391.00
2011.958	391.85
2012.042	392.42
2012.125	393.00
2012.208	393.53
2012.292	393.80
2012.375	393.68
2012.458	392.63
2012.542	390.80
2012.625	389.69
2012.708	390.36
2012.792	391.97
2012.875	393.37
2012.958	394.18
2013.042	394.86
2013.125	395.49
2013.208	396.07
2013.292	396.52
2013.375	396.53
2013.458	395.74
2013.542	394.27
2013.625	393.05
2013.708	393.01
2013.792	394.31
2013.875	395.76
2013.958	396.65
2014.042	397.28
2014.125	397.73
2014.208	398.03
2014.292	398.39
2014.375	398.46
2014.458	397.50
2014.542	395.91
2014.625	394.80
2014.708	394.89
2014.792	396.15
2014.875	397.63
2014.958	398.60
2015.042	399.31
2015.125	399.86
2015.208	400.30
2015.292	400.69
2015.375	400.64
2015.458	399.79
2015.542	398.12
2015.625	396.84
2015.708	397.15
2015.792	398.60
2015.875	400.15
2015.958	401.43
2016.042	402.39
2016.125	402.95
2016.208	403.52
2016.292	404.07
2016.375	404.19
2016.458	403.38
2016.542	401.72
2016.625	400.44
2016.708	400.72
