# 42 iterations: lambda 1.75908, LOO RMS 965.809, and est. err. var. 325008
0 179568.5 181606.9 69626.9
0.483333 179949.5 181983.15 64176.4
1.21667 182232.5 182695.1 58090.6
1.83333 183291.5 183461.6 54994.8
2.61667 186363.5 184725.44 53640.3
4.03333 188542 188037.16 60441
5.51667 193230 192640.65 80116.4
7.2 200279.09 198959.46 93524.5
9.91667 209896 210621.33 70803.4
10.9167 210294.03 212972.11 60483.3
12.1167 214964.03 215317.78 53249.9
12.8 216469.74 216664.61 53062.2
13.5167 216469.74 218215.98 54093.2
14.0333 220323.74 219499.8 55075.4
15.45 228320.74 224130.71 61272.8
17.15 233176.74 231204.38 82983.7
19.1833 239280.9 238011.47 104260
21.3 242340.9 243173.15 108528
23.5833 249243 249120.38 101950
25.2167 251607 253043.82 98558.9
27.0333 259436.77 258090.9 97143.4
29.0167 263544 263863.6 99133.6
31 268966 269580.79 96166.2
32.7667 275016.45 274361.39 93915
34.4333 277705.45 278373.12 101046
36.2 285500.39 282183.62 136954
40.55 294291.39 297762.13 134761
42.2 300861.39 302213.51 101517
43.9333 309503.4 308503.41 93026.3
45.7 315618.04 315314.28 92100.4
47.6667 322068.04 322503.48 89880.7
49.2167 327200.04 327517.9 87958.4
50.8333 333086.04 332609.14 85737.6
52.4833 338212.15 337638.91 85235.4
54.2167 342265.15 342439.34 84734.1
55.7667 345683.15 346568.76 85384
57.3167 351822.68 350963.8 86938
59.0167 356270.84 356131.16 90462.2
60.9 362104.84 362361.75 92064.6
62.7667 368333.84 368625.53 91847.4
64.3333 373228.11 373759.63 91084
66.1 381191.98 379763.08 91282.8
67.9 385146.48 385380.07 94436.5
69.7333 391009.14 390647.76 97005.5
71.6 395976.84 395948.18 97952.4
73.5833 401529.84 401699.86 97351.1
75.3667 405962.84 407431.85 93495.4
77.2333 414130.84 414536.48 92296.2
78.75 421552 420129.04 93322.4
80.65 426929 427088.87 93878.5
82.5833 433708 435011.78 93108.6
84.3667 441455 443372.52 89742.3
85.9333 452517.88 450738.13 89962.4
87.5333 459392.05 457358.6 90636.2
89.5333 463589.05 464582.54 94487.7
91.2667 470546.08 470960.11 94635.5
